Master of Information and Communication Technology Advanced,University of Wollongong,"Wollongong, Australia"
Master of Social Work (Professional Qualifying),Charles Sturt University,"Bathurst, Australia"
Master of Arts (MA) in French,University of Auckland,"Auckland, New Zealand"
Master of Music (Performance Teaching),The University of Melbourne,"Melbourne (Australia), Australia"
Master of Arts (Conducting) (Taught),Royal Conservatoire of Scotland,"Glasgow, Scotland"
Master of Planning Mid-Year Entry,University of Adelaide,"Adelaide, Australia"
Master in International Relations - Global Studies,University of Wroclaw,"Wroclaw, Poland"
Master of Science (MSc) in Chemistry,The University of Waikato,"Hamilton (New Zealand), New Zealand"
Master of Engineering Studies in Civil Engineering,The University of Canterbury,"Christchurch, New Zealand"
Master of International and Development Economics - ANU-Nankai University,Australian National University,"Canberra, Australia"
Master of Educational and Developmental Psychology,Monash University,"Melbourne (Australia), Australia"
Master of Environmental Science,The University of Melbourne,"Melbourne (Australia), Australia"
Master of Advanced Social Work,The University of Melbourne,"Melbourne (Australia), Australia"
Master of Science (Research) in Physics,The University of Waikato,"Hamilton (New Zealand), New Zealand"
Master of Maori and Pacific Development,The University of Waikato,"Hamilton (New Zealand), New Zealand"
Master of Science in Biomedical Engineering,Vrije Universiteit Brussel,"Brussels, Belgium"
Master of Applied Science (Medical Physics),Queensland University of Technology (QUT),"Brisbane, Australia"
Master of Arts (MA) majoring in Geography,The University of Waikato,"Hamilton (New Zealand), New Zealand"
Master of Science in Medical Device Engineering,Keck Graduate Institute,"Claremont, United States of America"
Masters in Law by Research (Taught),Sheffield Hallam University,"Sheffield, England"
Master of Music (Performance: Intensive) (Taught),"Royal Academy of Music, University of London","London, England"
Master of Arts (International Relations),Deakin University,"Melbourne (Australia), Australia"
Master of Professional Accounting (16 subjects),Charles Sturt University,"Bathurst, Australia"
Master of Project Management (Professional),Swinburne University of Technology,"Melbourne (Australia), Australia"
Arab Master in Democracy and Human Rights,Saint-Joseph University - Political Science Institute,"Beirut, Lebanon"
Master of Philosophy (MPhil) in Screen and Media Studies,The University of Waikato,"Hamilton (New Zealand), New Zealand"
Master of Nutrition and Dietetics,University of Sydney,"Sydney, Australia"
Master of Philosophy (Health Sciences),University of Wollongong,"Wollongong, Australia"
Master of Philosophy (Health Sciences),University of Wollongong,"Wollongong, Australia"
Master of Science (MSc) in Food Science,University of Auckland,"Auckland, New Zealand"
Master of Science (MSc) in Logic and Computation,University of Auckland,"Auckland, New Zealand"
Master of Science (MSc) in Marine Science,University of Auckland,"Auckland, New Zealand"
Master in Luxury and Artistic Craftsmanship Manager,Groupe EAC,"Paris, France"
Master of Materials Science,Griffith University,"Gold Coast, Australia"
Erasmus Mundus - Master of Science in Computational Mechanics,Centrale Nantes,"Nantes, France"
Master of Psychology (Professional),Curtin University,"Perth, Australia"
Master of Clinical Psychology,The University of Queensland,"Brisbane, Australia"
Master of Public Policy,University of Sydney,"Sydney, Australia"
Global Master in International Sports Law,ISDE - Law Business School,"Barcelona, Spain"
Master of Professional Accounting and Business Law,Monash University,"Melbourne (Australia), Australia"
Master of Bioscience Enterprise (MBioEnt),University of Auckland,"Auckland, New Zealand"
Master of Performance (Brass) (Taught),"Royal College of Music, London","London, England"
"Master of Education (Adult, Professional and Workplace Learning)",University of Southern Queensland,"Toowoomba, Australia"
Master of Health Sciences (Palliative Care),The University of Canterbury,"Christchurch, New Zealand"
Master of Engineering in Earthquake Engineering,The University of Canterbury,"Christchurch, New Zealand"
Master of Philosophy (Creative Arts),University of Wollongong,"Wollongong, Australia"
Master of Science in Offshore Engineering,Delft University of Technology,"Delft, Netherlands"
Master's Program in Middle Eastern Studies,Lund University,"Lund, Sweden"
Master of Business and Innovation (Digital Transformation),University of Southern Queensland,"Toowoomba, Australia"
Master of Advanced Engineering (Engineering and Project Management),University of Southern Queensland,"Toowoomba, Australia"
Industrial Systems Engineering (Master),University of Regina,"Regina, Canada"
Master of Nutrition and Dietetics,University of Sydney,"Sydney, Australia"
Industrial Systems Engineering (Master),University of Regina,"Regina, Canada"
Master of Business Information Systems,Swinburne University of Technology,"Melbourne (Australia), Australia"
Master of Design Strategy and Innovation,Swinburne University of Technology,"Melbourne (Australia), Australia"
Master of Design Strategy and Innovation,Swinburne University of Technology,"Melbourne (Australia), Australia"
Master of Digital Learning Leadership,Deakin University,"Melbourne (Australia), Australia"
Master of Environmental Management and Development,Australian National University,"Canberra, Australia"
Master of Public Leadership and Policy,University of New South Wales,"Sydney, Australia"
Master of Engineering Asset Management (Online Delivery),University of Wollongong,"Wollongong, Australia"
Master of Digital Business Management (Advanced),Swinburne University of Technology,"Melbourne (Australia), Australia"
Master of Digital Business Management (Advanced),Swinburne University of Technology,"Melbourne (Australia), Australia"
Master of Science in Business Analytics,Georgetown University Online,"Washington D.C., United States of America"
Master in Computer Application Technology,Hangzhou Normal University,"Hangzhou, China"
Master of Professional Studies in Digital Security,University of Auckland,"Auckland, New Zealand"
Master of Science in Electrical Engineering,Vrije Universiteit Brussel,"Brussels, Belgium"
Master of Commerce in International Business,Victoria University of Wellington,"Wellington, New Zealand"
Master of Social Work Studies,The University of Queensland,"Brisbane, Australia"
Master of Social Work Studies,The University of Queensland,"Brisbane, Australia"
Master of Arts (MA) in Psychology,University of Auckland,"Auckland, New Zealand"
Master of Education (Early Childhood Education),New Zealand Tertiary College,"Auckland, New Zealand"
Master of Nursing (By Research),Victoria University,"Victoria (State in Australia), Australia"
Master of Computer Science (Machine Learning and Big Data),University of Wollongong,"Wollongong, Australia"
Masters in Forced Migration Studies Programme,"University of the Witwatersrand, Johannesburg","Johannesburg, South Africa"
Master of Engineering in Design of Systems and Products,Centrale Nantes,"Nantes, France"
Master of Agribusiness Mid-Year Entry,University of Adelaide,"Adelaide, Australia"
Master of Health Practice in Midwifery,Auckland University of Technology,"Auckland, New Zealand"
Master of Health Practice in Rehabilitation,Auckland University of Technology,"Auckland, New Zealand"
Master of Fine Arts in Graphic Design,The University of Canterbury,"Christchurch, New Zealand"
Master of Strategic Communications Management,Monash University,"Melbourne (Australia), Australia"
Master in Tourism & Hospitality Management,EADA Business School,"Barcelona, Spain"
Master of Arts (MA) majoring in Music,The University of Waikato,"Hamilton (New Zealand), New Zealand"
LLM Master of Laws (International) - Part-time,The University of Law,Multiple (5)
Master of Tertiary Education (Management),The University of Melbourne,"Melbourne (Australia), Australia"
Footwear & Bag Design Job Master,Istituto Modartech,"Pontedera, Italy"
Master of Urban and Regional Planning,University of Sydney,"Sydney, Australia"
Forestry and Environmental Management Degrees (TRANSFOR-M),Bangor University,"Bangor, Wales"
Master of Nursing - Advanced Practice Pathway,Ara Institute of Canterbury,"Christchurch, New Zealand"
Master of Philosophy (Medical Science) Mid-Year Entry,University of Adelaide,"Adelaide, Australia"
Master of Philosophy (Public Health) Mid-Year Entry,University of Adelaide,"Adelaide, Australia"
Master of Data Science,The University of Melbourne,"Melbourne (Australia), Australia"
